key,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128
mouse_click,-1.9109056,-0.24602488,0.7439215,-0.44814315,-0.9304756,-1.6472659,-0.644246,-0.15144241,-3.0254421,-0.81602,-0.34892002,-0.87532955,-0.5681006,-0.24025378,-0.3354008,0.34974092,0.027123073,0.005623639,-0.6590322,-0.09777704,0.11086322,-0.41739535,-0.43100503,-0.749974,0.38574222,0.52223456,0.03895119,-0.28094074,0.6181701,-0.3420568,0.1499604,-0.41416365,0.52201676,0.44683704,0.07417418,-0.31155515,-0.53947115,-1.2020879,-1.143033,0.058051705,0.6468127,-0.908593,0.6676308,-0.32003212,0.29297373,-0.76651144,0.6293581,0.27712652,-0.023680061,0.52242994,-0.5195835,-0.6749347,-1.7026168,-1.0883943,0.45849743,-0.48652646,0.4641101,-0.13620673,-0.19714904,-0.19028778,0.11253901,-0.6478686,-0.6363729,-1.2908092,-0.08870876,-0.18574226,-0.4422189,0.7259409,-0.28394887,-0.6218226,0.26320937,-0.5956668,-0.1222219,-1.1125153,0.09028621,0.3587664,-1.0695031,0.24902406,-0.16882426,0.55258954,-0.39337116,1.0859466,0.08569875,-1.400704,0.48325747,0.250704,0.1405412,0.5357623,-0.19124128,1.172039,-0.73029566,0.61724377,-1.2105687,0.4292949,0.15870146,0.7659623,-0.49599844,-0.60381407,-0.076447554,-0.40118635,-0.31100255,0.22204259,-0.4333201,0.08363417,-1.9281546,-1.284343,-0.19175792,-1.8438491,0.3489679,-0.5260257,-0.56364834,-0.3267785,0.41963467,-0.50729024,-0.13612159,-0.4083728,-0.03582582,0.008055502,-0.99611926,0.14551687,-0.3623044,-0.11385139,-0.9989829,-0.29067957,-0.23917672,-1.7753177,-0.24583684,0.044301927
mouse_click,-1.0429969,-0.11120361,0.5162697,-0.38146448,-0.41654313,-1.1083386,-0.40067858,-0.07741799,-2.049075,-0.6032285,-0.12529275,-0.54184264,-0.3752154,-0.109232634,-0.22464469,0.24167404,0.017391648,0.26483583,-0.4228598,0.051250547,-0.032710567,-0.2160201,-0.37193632,-0.4209074,0.3568704,0.38109544,0.14960763,-0.11856039,0.3937419,-0.19815154,-0.004938103,-0.10693222,0.2766603,0.34353292,-0.04218677,-0.08181819,-0.34762108,-0.8683531,-0.7410294,0.04661107,0.73686236,-0.6191696,0.47805518,-0.22510287,0.37281084,-0.48441485,0.62627304,0.50994074,0.076334566,0.50710076,-0.23536952,-0.5638956,-1.1320852,-0.6962207,0.42895976,-0.33379403,0.46526057,0.09182604,0.06997149,-0.24911305,0.07454811,-0.33323866,-0.59188354,-0.8078151,-0.064621106,-0.1244944,-0.23857951,0.44887507,-0.24415344,-0.30284223,0.058052905,-0.3090523,0.08832514,-0.6271015,0.14512008,0.29349804,-0.65570855,0.41936207,0.012278587,0.5481706,-0.3370848,0.57316613,0.09586005,-0.84144515,0.5136968,0.20076856,0.20921864,0.51650107,-0.023837373,0.7503134,-0.49561873,0.49021193,-0.8643984,0.41900015,0.16264175,0.76144725,-0.1918701,-0.45045453,-0.14726175,-0.11234701,-0.16175523,0.32193,-0.30956197,0.16242635,-1.0295777,-0.6802903,0.052772254,-1.129592,0.45536342,-0.3655156,-0.25522545,-0.21250907,0.25892723,-0.4579144,-0.17161076,-0.2060653,0.042576894,0.046014894,-0.528548,0.11720588,-0.20025294,-0.06952793,-0.63595676,-0.16194782,-0.19885376,-1.0609319,-0.080493465,0.081237465
mouse_click,-1.7533798,-0.22351453,0.5645397,-0.4036867,-0.9063635,-1.5441762,-0.71343505,0.007450506,-3.1652117,-1.0660521,-0.44204476,-0.8533937,-0.5059478,-0.30927056,-0.20644948,0.50585866,0.07152931,0.13570295,-0.59531814,-0.106554955,-0.046484984,-0.29994208,-0.3497465,-0.6740724,0.44788635,0.5037954,-0.022865742,-0.3027652,0.5306391,-0.30780238,0.119168766,-0.33717477,0.3771868,0.6254615,-0.09596897,-0.27650684,-0.60232043,-1.1701183,-1.3112293,0.004897028,0.7518815,-0.88677716,0.7053482,-0.31799126,0.3016919,-0.81625557,0.63874215,0.12917972,-0.09064785,0.48586148,-0.4248821,-0.8204726,-1.7310481,-1.02326,0.46046776,-0.47507092,0.54354036,0.0728959,-0.2640921,-0.30505458,0.11312777,-0.63148516,-0.71657956,-1.5148162,-0.02173172,-0.18380202,-0.5344385,0.73768485,-0.37334135,-0.8094164,0.19133578,-0.6137499,-0.077381715,-1.0273386,0.09151286,0.24133003,-0.8827991,0.33995086,-0.16961554,0.71419275,-0.5103119,0.65891886,0.07482611,-1.2794409,0.69666374,0.102785856,0.06094113,0.47054183,-0.15710913,1.1047372,-0.7600709,0.4890594,-1.1571277,0.4667827,0.1779389,0.62678957,-0.44757903,-0.57715833,-0.1015126,-0.3428896,-0.4151383,0.2991702,-0.5529882,0.14296845,-1.8983158,-1.2697306,-0.13215017,-1.7031281,0.29122496,-0.684615,-0.52353305,-0.38897076,0.4091337,-0.62851125,-0.18775927,-0.4513137,-0.063269705,-0.07263024,-0.8463193,0.16288218,-0.2573145,-0.10815761,-0.9550032,-0.37786812,-0.22074392,-1.6260258,-0.39771456,0.07144976
mouse_click,-1.6655476,-0.15352896,0.5344871,-0.56596226,-0.90911293,-1.5446751,-0.26519758,-0.3384085,-2.5336277,-0.9527824,-0.10000643,-0.51862764,-0.9137188,-0.23550403,-0.3832653,0.30630982,0.15828846,0.11005649,-0.49019694,-0.009223759,-0.024536438,-0.20094424,-0.24956405,-0.76231945,0.33523265,0.71853054,0.1497098,-0.14149661,0.7187051,-0.19132383,0.050451238,-0.15754214,0.19610168,0.26445615,0.07516224,-0.2024047,-0.4118958,-1.4022448,-1.0511723,0.02022782,0.84657913,-0.98642904,0.5962423,-0.33072522,0.35219455,-0.47695586,0.4905623,0.13581917,-0.17535219,0.464892,-0.34687394,-0.7779683,-1.2998298,-1.1861529,0.297665,-0.49455813,0.3772104,-0.25835216,-0.31412604,-0.10503312,0.21804896,-0.6336007,-0.3775977,-0.7221203,-0.08807401,-0.15445948,-0.43977588,0.588431,-0.13775256,-0.32011184,0.30087718,-0.41616136,0.06521274,-1.0904775,0.0823583,0.29407823,-1.1534008,0.17663756,-0.22523645,0.5476299,-0.28855178,1.2517682,-0.16257593,-1.1554202,0.32445326,0.40994918,0.3559347,0.19782099,-0.19111882,0.80471593,-0.6105739,0.7553295,-0.9284469,0.48049355,0.13810539,0.9686396,-0.4815859,-0.6412666,0.07343787,-0.38617313,-0.40167668,0.16741627,-0.29012695,-0.027071595,-1.5810966,-1.1171063,-0.25133342,-1.7321333,0.12331274,-0.20828728,-0.4131553,-0.43250737,0.15871134,-0.7698083,-0.17171668,-0.37874874,-0.06461573,-0.025407052,-0.7250283,0.073160365,-0.3001548,0.035193503,-1.0490094,-0.10206765,-0.19573158,-1.2583004,0.075272575,0.16326705
mouse_click,-2.4342759,-0.34140262,0.9373608,-0.74380475,-1.1972046,-2.2128434,-0.26270723,-0.2947135,-3.6207666,-0.9141805,-0.6598387,-1.0643058,-0.8126884,-0.2480664,-0.27402908,0.6083838,-0.1132335,0.12039667,-0.58903116,-0.14127207,0.19355777,-0.43941104,-0.6118097,-0.82333875,0.13894051,0.7042666,0.06085685,-0.080029115,0.6347804,-0.58526003,0.20664099,-0.5289904,0.5793397,0.34680414,0.3496351,-0.44904304,-0.6886085,-1.6441543,-1.2871335,0.17461507,0.77873105,-1.0089428,0.59143376,-0.3969915,0.27207118,-0.79912794,0.27428517,0.19700432,-0.058754027,0.5067677,-0.67031246,-0.8886038,-1.7998972,-1.2556618,0.2300075,-0.32617834,0.2944014,0.11629884,-0.37279758,-0.008079466,-0.013728052,-0.9295821,-0.77466035,-1.4047489,-0.2668425,-0.193405,-0.62627244,0.86806697,-0.46197486,-0.8506676,0.21479635,-0.69280916,-0.37992686,-1.6386956,0.14086257,0.31669185,-1.2361883,0.30638325,-0.3608776,0.34063467,-0.4961457,1.7863953,-0.3784879,-2.0862994,0.46906906,0.39561406,0.20966968,0.14419349,-0.5793474,1.1993669,-1.0974712,0.92784166,-1.091754,0.49393842,0.10363904,0.8006576,-0.8552782,-0.99038476,0.022118242,-0.69448805,-0.46789864,0.36065292,-0.4353716,-0.21348444,-2.3067741,-1.676754,-0.39303583,-2.2923203,0.3175428,-0.4716266,-0.6286279,-0.43826452,0.35013264,-0.62745064,-0.27519494,-0.37875226,-0.26744238,-0.27457568,-1.088761,0.018515246,-0.53730327,-0.27521446,-1.1334883,-0.3539356,-0.112076946,-1.9092174,-0.34266543,-0.16776049
mouse_click,-1.5611115,-0.21619055,0.70832837,-0.2953152,-0.78861797,-1.4221398,-0.8503456,-0.07829823,-3.138687,-0.91508365,-0.47003493,-1.0897573,-0.22087735,-0.3830027,-0.5360419,0.49418288,-0.030183883,0.1574079,-0.57020336,-0.036277413,0.009369943,-0.5354629,-0.58645546,-0.5413209,0.4821419,0.3745663,0.04607123,-0.41285247,0.429667,-0.39117938,0.09991059,-0.39112413,0.8114522,0.29145515,0.18394743,-0.43354774,-0.6620957,-0.88170743,-1.4378786,0.12903666,0.48159617,-1.0873498,0.7514102,-0.41014498,0.26701435,-0.82354546,0.75838184,0.51209754,0.09141114,0.45325962,-0.5107227,-0.7702734,-1.4088479,-1.2620293,0.5209956,-0.55736303,0.48070806,-0.24845175,-0.29409543,-0.18614002,0.28591835,-0.58565193,-0.67959976,-1.7649552,-0.117959425,-0.1002012,-0.23333785,0.6983722,-0.49228665,-0.5646442,0.22083943,-0.6792683,-0.09762959,-0.96252024,-0.045668185,0.55513036,-1.0192976,0.53160006,-0.24524567,0.66154754,-0.6134965,0.9023644,0.29500756,-1.2325484,0.45138282,-0.01667443,0.11878808,0.6294435,-0.33376968,0.5734358,-0.80246544,0.6707381,-1.3007488,0.638858,0.26556784,0.68884146,-0.6963302,-0.6670992,-0.25654936,-0.37804544,-0.4084074,0.21365401,-0.39415583,0.13063456,-1.6973926,-1.0102984,-0.13000327,-1.5078182,0.34187442,-0.7458633,-0.8203619,-0.16194332,0.23941123,-0.6957609,-0.100366056,-0.4900861,-0.060508728,-0.07290253,-0.84520936,-0.08727869,-0.44525558,-0.40695536,-0.9797833,-0.3205421,-0.10766641,-1.5606501,-0.2669602,0.07910603
mouse_click,-1.4940193,-0.0721488,0.8553326,-0.7124196,-0.62308097,-1.5957682,-0.39365458,-0.10550026,-2.696231,-0.83202744,-0.4812481,-0.6371554,-0.18248053,-0.26531962,-0.047712766,0.4383051,-0.056921482,0.15260634,-0.56541044,-0.09359634,0.21174213,-0.44832134,-0.3711535,-0.5250516,0.4792086,0.40040928,-0.111602545,-0.3530684,0.44060868,-0.40055877,-0.009432232,-0.42607963,0.58695364,0.69170034,0.11610461,-0.33863443,-0.53262156,-0.83517164,-0.8752036,0.18224612,0.63130504,-0.4812113,0.4456203,-0.2858259,0.31571996,-0.75080156,0.58542883,0.18670931,-0.108887315,0.33479542,-0.34504855,-0.84768254,-1.5552891,-0.94596416,0.41577718,-0.18997884,0.22746205,0.2948427,-0.13708422,0.006746311,0.01954937,-0.50982666,-0.94944805,-1.2120025,-0.09534559,-0.15604578,-0.4101389,0.5250629,-0.37029827,-0.79667866,0.22580001,-0.54603285,-0.30614454,-1.0289774,0.28219318,0.26233345,-0.68021363,0.2803815,-0.08042094,0.5758658,-0.31052217,0.9600325,-0.039679468,-1.4701049,0.56275225,0.100038484,0.09729126,0.5188312,-0.40665603,0.9292081,-0.7320589,0.40284944,-1.0595574,0.6999097,0.06846002,0.5856337,-0.45956627,-0.77333045,-0.2484805,-0.29313064,-0.08594505,0.3199774,-0.29236522,0.19346404,-1.6089376,-1.2511867,0.023710042,-1.4535027,0.36148074,-0.7363359,-0.5224813,-0.3354033,0.47342163,-0.35916832,-0.18825312,-0.20008102,-0.18062988,-0.09140636,-1.003938,-0.09140246,-0.26086938,-0.11988201,-0.7022482,-0.2960022,-0.11118508,-1.5495462,-0.25346625,-0.073195845
mouse_click,-2.3616567,-0.3300555,0.6654941,-0.6782034,-1.2744286,-2.3803766,-0.9786051,-0.10357601,-4.352532,-1.0683122,-0.6778461,-1.5152997,-0.81632286,-0.33027488,-0.6689735,0.76604,0.19332105,0.10650933,-0.44126928,-0.08499691,0.005519822,-0.49113286,-0.5660191,-0.78455067,0.35026437,0.45449048,-0.015914142,-0.026274603,0.62179625,-0.5737302,-0.002539542,-0.3762225,0.5621827,0.287392,0.15593621,-0.41116118,-0.7908399,-1.7355422,-1.754437,0.19512881,0.82241106,-1.0909014,0.7238916,-0.5571704,0.47628978,-1.2072761,0.56247056,0.38723397,0.050082058,0.47348005,-0.75582224,-1.1933491,-2.1554627,-1.602314,0.5081855,-0.7757587,0.4149838,-0.05831544,-0.29095408,-0.46091667,0.10581125,-0.95584035,-1.0093677,-2.043594,-0.016697727,-0.16169275,-0.5219317,0.93386513,-0.49772832,-0.9902618,0.02363443,-0.9088842,-0.3381018,-1.423548,-0.027805418,0.51480186,-1.4999204,0.48925528,-0.40589902,0.5250113,-0.78190947,1.180821,-0.08641946,-2.243722,0.3960049,0.20860833,0.06612477,0.46466213,-0.25261968,1.1762648,-1.2509145,0.73525345,-1.8225064,0.45638785,0.08108547,0.83284235,-0.95110047,-0.7666044,-0.110293895,-0.66432744,-0.526409,0.20333058,-0.67719185,-0.15049067,-3.1770732,-1.5604888,-0.42016947,-2.1725123,0.2844428,-0.65747124,-0.943243,-0.2886711,0.4509678,-1.1242626,-0.34489632,-0.6994548,-0.25259903,0.09938831,-1.1933159,0.08624313,-0.53342855,-0.36207938,-1.3236315,-0.5677144,-0.1854518,-2.2527704,-0.40831548,0.04880263
mouse_click,-1.9634664,-0.12719396,0.7498933,-0.646492,-0.9518509,-1.6294621,-0.28179705,-0.20794755,-2.70185,-0.97000957,-0.1810224,-0.90006715,-0.44559625,-0.45113522,-0.32657257,0.42699665,0.05483926,-0.039320707,-0.8498985,0.042010248,-0.014566302,-0.45071566,-0.4339253,-0.66045594,0.28869623,0.49524897,0.034999758,-0.321506,0.459621,-0.14655994,-0.047876187,-0.49606264,0.5222883,0.30797067,0.000388352,-0.39132786,-0.42606252,-1.0762422,-1.0603373,0.005999982,0.6315614,-0.9003964,0.6194304,-0.2830522,0.23476347,-0.6574178,0.37394208,0.27843022,-0.1784125,0.49890307,-0.58758664,-0.7260129,-1.6106168,-1.0751541,0.4823362,-0.58447176,0.3039024,0.013030097,-0.1833908,-0.073014796,0.006909996,-0.42887956,-0.68798107,-1.0764995,-0.23820496,-0.1316818,-0.288281,0.6742618,-0.1376544,-0.5337932,0.26322627,-0.5785484,0.2784525,-1.4601134,0.09908229,0.45761704,-1.1679074,0.28694394,-0.2622787,0.6982979,-0.43606007,1.1155002,-0.018326014,-1.4110451,0.438147,0.28131863,0.35661262,0.51668334,-0.374349,0.8266467,-0.63391984,0.58783436,-1.0367552,0.80803466,-0.055559397,0.9604225,-0.6341426,-1.0219676,-0.30284306,-0.48992085,-0.22532064,0.34261686,-0.35830462,-0.07294065,-1.8390557,-1.3061081,-0.1216034,-1.928907,0.26154822,-0.555265,-0.5270413,-0.47036937,0.119028665,-0.34921685,-0.11842574,-0.35184607,-0.004590303,-0.26440752,-0.7762939,-0.09548583,-0.34120852,-0.20532006,-0.84900385,-0.29740447,-0.07132575,-1.8751638,-0.05677481,0.030591547
mouse_click,-1.9333193,-0.23990509,0.7782408,-0.69322836,-1.0951881,-2.134633,-0.90897596,-0.22886941,-3.7193875,-1.0718166,-0.6582289,-1.3355176,-0.47661152,-0.4268217,-0.49793255,0.6421224,0.031352222,0.21161267,-0.6544393,-0.16526195,0.1564059,-0.635842,-0.71682495,-0.6405388,0.29066503,0.29963422,0.06448537,-0.19223988,0.41814446,-0.48859042,0.2927507,-0.42243534,0.83480054,0.49132606,0.038465496,-0.39337987,-0.75437707,-1.2184612,-1.4746407,0.16232535,0.8491107,-1.1532408,0.7904098,-0.5989495,0.42063877,-1.0953779,0.7214655,0.60302836,-0.039524943,0.3393292,-0.5738922,-1.1953752,-1.9268476,-1.4580321,0.4095708,-0.514446,0.2846011,-0.06660305,-0.21855688,-0.2803115,0.13666591,-0.7725487,-1.0175586,-1.7405665,-0.11090025,-0.17500666,-0.49285477,0.7482191,-0.5751349,-0.86567676,0.121266775,-0.83247226,-0.41646135,-1.1966119,0.02557069,0.47197658,-1.1804138,0.35362715,-0.28398272,0.46794942,-0.5362653,1.0814155,-0.024479777,-1.9184939,0.4659486,0.1681135,0.16873741,0.50629544,-0.39666933,1.0182277,-1.075397,0.58568466,-1.6832606,0.38939118,0.028696358,0.93440706,-0.6688406,-0.9826377,-0.06632446,-0.50893337,-0.40546387,0.28717065,-0.59101367,0.045681477,-2.6910603,-1.3675609,-0.22827077,-1.8451104,0.34019366,-0.64890367,-0.8292735,-0.3074319,0.4377245,-0.8831986,-0.41487294,-0.5737269,-0.3539293,-0.004837895,-1.0253965,0.057322256,-0.4063086,-0.35494006,-1.1682916,-0.42695445,-0.10765054,-2.0557592,-0.29169047,-0.17117256
