key,peak_1,peak_2,peak_3
space,211.68,538.02,873.18
a,119.07,388.08,630.63
space,149.94,436.59,657.09
a,149.94,423.36,749.7
space,163.17,396.9,851.13
a,92.61,313.11,542.43
space,141.12,374.85,710.01
a,114.66,335.16,714.42
space,154.35,423.36,657.09
space,132.3,357.21,670.32
a,97.02,335.16,573.3
space,163.17,396.9,811.44
space,17.64,251.37,604.17
a,101.43,321.93,542.43
space,4.41,242.55,502.74
a,211.68,502.74,727.65
space,127.89,352.8,577.71
a,176.4,573.3,842.31
backspace,141.12,458.64,710.01
space,171.99,507.15,780.57
backspace,149.94,441.0,670.32
space,154.35,379.26,811.44
backspace,154.35,458.64,714.42
space,136.71,357.21,723.24
a,127.89,445.41,670.32
backspace,145.53,383.67,749.7
space,163.17,577.71,815.85
a,110.25,436.59,687.96
space,145.53,370.44,599.76
a,145.53,405.72,758.52
backspace,145.53,374.85,723.24
space,158.76,432.18,745.29
a,141.12,498.33,912.87
backspace,158.76,418.95,701.19
space,141.12,463.05,749.7
a,97.02,410.13,643.86
backspace,145.53,366.03,612.99
space,141.12,410.13,635.04
