key,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7
a,1118.0,1097.0,468.0,254.0,245.0,206.0,144.0
s,214.0,206.0,199.0,192.0,175.0,142.0,82.0
e,367.0,355.0,305.0,283.0,274.0,252.0,197.0
Space,300.0,281.0,252.0,250.0,235.0,216.0,199.0
Enter,254.0,247.0,221.0,211.0,204.0,197.0,144.0
Backspace,314.0,307.0,300.0,295.0,276.0,149.0,142.0
k,154.0,146.0,144.0,137.0,130.0,122.0,115.0
m,266.0,259.0,242.0,235.0,228.0,130.0,122.0
e,230.0,223.0,216.0,209.0,202.0,194.0,187.0
Space,458.0,398.0,322.0,314.0,240.0,238.0,146.0
w,1610.0,384.0,370.0,355.0,338.0,295.0,214.0
a,346.0,142.0,139.0,137.0,118.0,115.0,113.0
p,1133.0,646.0,139.0,110.0,101.0,98.0,96.0
a,1546.0,1502.0,1490.0,139.0,134.0,122.0,101.0
p,634.0,629.0,144.0,139.0,113.0,110.0,101.0
a,132.0,127.0,122.0,113.0,108.0,103.0,89.0
p,641.0,631.0,586.0,142.0,139.0,130.0,113.0
a,622.0,494.0,322.0,310.0,134.0,130.0,125.0
p,622.0,605.0,600.0,113.0,108.0,103.0,94.0
w,852.0,689.0,682.0,667.0,142.0,130.0,94.0
q,1507.0,1486.0,1483.0,1478.0,1476.0,130.0,118.0
s,1610.0,1541.0,1159.0,202.0,142.0,132.0,118.0
i,1094.0,1085.0,1075.0,180.0,175.0,137.0,86.0
Space,158.0,151.0,142.0,134.0,125.0,98.0,91.0
Enter,158.0,151.0,149.0,142.0,134.0,127.0,91.0
Backspace,1850.0,1843.0,1171.0,139.0,132.0,125.0,118.0
e,1632.0,1562.0,1541.0,173.0,154.0,89.0,82.0
n,271.0,264.0,250.0,199.0,192.0,161.0,154.0
i,146.0,139.0,132.0,125.0,120.0,113.0,106.0
a,264.0,197.0,149.0,142.0,134.0,127.0,120.0
l,434.0,310.0,295.0,281.0,264.0,259.0,257.0
d,1457.0,1440.0,1054.0,317.0,142.0,137.0,132.0
j,151.0,146.0,132.0,127.0,122.0,118.0,113.0
e,154.0,144.0,139.0,132.0,127.0,86.0,82.0
i,166.0,146.0,142.0,137.0,132.0,127.0,122.0
o,242.0,170.0,166.0,161.0,146.0,142.0,137.0
a,194.0,139.0,134.0,125.0,96.0,91.0,86.0
n,960.0,305.0,151.0,139.0,127.0,118.0,89.0
m,1570.0,1538.0,154.0,149.0,137.0,132.0,127.0
e,144.0,139.0,134.0,113.0,108.0,103.0,98.0
e,1490.0,1483.0,1471.0,1464.0,1378.0,1246.0,1238.0
r,1495.0,1493.0,1474.0,1459.0,1082.0,139.0,134.0
t,1546.0,1514.0,1510.0,1476.0,1085.0,139.0,134.0
Space,1159.0,139.0,134.0,132.0,127.0,122.0,115.0
w,1488.0,1483.0,876.0,130.0,125.0,120.0,115.0
q,144.0,139.0,132.0,127.0,122.0,106.0,101.0
z,163.0,132.0,125.0,120.0,113.0,101.0,86.0
l,1090.0,1085.0,178.0,151.0,139.0,134.0,94.0
k,1135.0,1133.0,1130.0,1128.0,1126.0,1123.0,1121.0
o,154.0,149.0,144.0,137.0,132.0,127.0,122.0
i,430.0,425.0,420.0,230.0,182.0,163.0,146.0
y,1133.0,1118.0,1058.0,1049.0,144.0,137.0,132.0
t,1116.0,1111.0,732.0,727.0,134.0,127.0,122.0
h,1130.0,266.0,245.0,180.0,130.0,127.0,125.0
u,1586.0,151.0,144.0,142.0,137.0,134.0,127.0
