prev_finger,curr_finger,time_delay
LI,RI,0.12213850021362305
RI,LI,0.1152796745300293
LI,RT,0.12199068069458008
LI,RI,0.08395862579345703
RI,LM,0.04201507568359375
LM,LI,0.08559679985046387
LI,LM,0.14505362510681152
LM,RT,0.0860147476196289
LR,LM,0.04185605049133301
LM,LI,0.09817004203796387
LI,LM,0.14159178733825684
LM,RT,0.18000507354736328
RP,RR,0.14341068267822266
RR,LP,0.11705327033996582
LP,RI,0.11307072639465332
RI,LM,0.09396791458129883
LM,LR,0.1329939365386963
LR,RT,0.12500762939453125
LI,RR,0.07800006866455078
RR,RT,0.08741950988769531
LM,LP,0.17219805717468262
LP,LI,0.10799455642700195
LI,LM,0.2202317714691162
LM,RI,0.11691141128540039
RI,RT,0.10968255996704102
LP,RI,0.12056779861450195
RI,LM,0.08503317832946777
LM,RT,0.12394213676452637
LI,RM,0.09196710586547852
RM,RR,0.07999849319458008
RR,RR,0.1699991226196289
RR,LR,0.15218210220336914
LR,RT,0.1262800693511963
LI,RR,0.07300257682800293
RR,RT,0.10351991653442383
RP,LP,0.18287301063537598
LP,RI,0.13218307495117188
RI,RT,0.10210299491882324
RI,LM,0.09139251708984375
LM,RT,0.11226105690002441
RR,LM,0.08135247230529785
LM,LP,0.1502699851989746
LP,LI,0.08298897743225098
LI,RI,0.10375618934631348
RI,LM,0.05599665641784668
LM,LM,0.1911311149597168
LM,RT,0.08299827575683594
LI,RR,0.07596993446350098
RR,RT,0.08486199378967285
LR,LP,0.17803955078125
LP,RR,0.08318090438842773
RR,RM,0.09477496147155762
RM,RT,0.1382441520690918
LR,RI,0.141157865524292
RI,RM,0.0754697322845459
RM,RR,0.04899287223815918
RR,LM,0.13623976707458496
LM,RT,0.11795330047607422
RT,LP,0.09810876846313477
RT,LP,0.0972144603729248
LR,LP,0.19078588485717773
LP,LR,0.09029555320739746
LR,RT,0.12993526458740234
LP,LR,0.19092059135437012
LR,LP,0.16800618171691895
LP,RI,0.17497658729553223
RI,RT,0.12826776504516602
LP,RI,0.13699054718017578
RI,LM,0.09999990463256836
LM,RT,0.1410069465637207
RI,LM,0.06239795684814453
LM,RT,0.2312014102935791
LR,LP,0.17297601699829102
LP,LR,0.10810422897338867
LR,RT,0.12318873405456543
LI,LP,0.12064003944396973
LP,RR,0.058484554290771484
RR,RM,0.093353271484375
RM,RM,0.20494318008422852
RM,RI,0.07596588134765625
RI,LI,0.08401226997375488
LI,RT,0.12297844886779785
LI,LM,0.21294426918029785
LM,LI,0.11396408081054688
LI,RR,0.14031243324279785
RR,LI,0.07781696319580078
LI,LM,0.07601094245910645
LM,RT,0.13628268241882324
RT,LP,0.09096431732177734
RT,LP,0.11108040809631348
RM,RI,0.06622672080993652
RI,LM,0.059346914291381836
LM,LR,0.12871432304382324
LR,RT,0.16927027702331543
RM,LI,0.11892819404602051
LP,RI,0.11591935157775879
RI,LM,0.08744454383850098
LM,RT,0.12576818466186523
LP,LR,0.11900019645690918
LR,RT,0.11899828910827637
RI,LM,0.09195661544799805
LM,RT,0.11801624298095703
LI,LI,0.17546868324279785
LI,LM,0.08018660545349121
LM,LR,0.12383222579956055
LR,RT,0.23991155624389648
RI,LM,0.13032054901123047
LM,RP,0.1616518497467041
RP,LM,0.16003990173339844
LM,RT,0.2077479362487793
LR,LP,0.16709542274475098
LP,RI,0.1672043800354004
RI,RT,0.08602333068847656
RM,RP,0.16484427452087402
RP,RI,0.18580985069274902
RI,RT,0.10288190841674805
LI,RR,0.122802734375
RR,RI,0.17663240432739258
RI,RI,0.17368268966674805
RI,LP,0.18198680877685547
LP,RT,0.16153740882873535
LI,LM,0.18553638458251953
LM,RT,0.10720467567443848
RR,RM,0.06792616844177246
RM,RM,0.18584036827087402
RM,LM,0.0779566764831543
LM,RT,0.10177755355834961
RI,RR,0.14359283447265625
RR,RI,0.1058661937713623
RI,RT,0.17687058448791504
RI,RR,0.12739300727844238
RR,RI,0.10368561744689941
RI,RT,0.11301779747009277
RM,RI,0.12095022201538086
RI,RR,0.10205745697021484
RR,LR,0.19494271278381348
LR,RT,0.1912858486175537
RM,RP,0.18221378326416016
RP,RI,0.16988778114318848
RI,RT,0.1309964656829834
LI,RR,0.09100461006164551
RR,RI,0.1814415454864502
RI,RI,0.15764474868774414
RI,LP,0.13637280464172363
LP,RT,0.08002877235412598
LI,LM,0.18416404724121094
LM,RT,0.07935571670532227
RR,RM,0.1342456340789795
RM,RM,0.1932668685913086
RM,LM,0.2509901523590088
LM,RT,0.2540569305419922
RI,RR,0.13648176193237305
RR,RI,0.08911991119384766
RI,RT,0.1621723175048828
RM,RT,0.09185051918029785
LR,LP,0.14640259742736816
LP,RR,0.0615694522857666
RR,RM,0.06821799278259277
RM,RT,0.12384772300720215
LP,RT,0.16471457481384277
RR,RR,0.17139673233032227
RR,RI,0.0730123519897461
RI,LM,0.13499975204467773
LM,RR,0.06611466407775879
RR,RI,0.19106674194335938
RI,RT,0.12357544898986816
LI,RR,0.10532331466674805
RR,LP,0.0810093879699707
LP,LM,0.12493634223937988
LM,RT,0.11206603050231934
LI,RI,0.05533552169799805
RI,LM,0.11260724067687988
LM,RT,0.08167171478271484
RR,RI,0.09441280364990234
RI,RR,0.1451406478881836
RR,RI,0.19293665885925293
RI,RT,0.06032752990722656
RR,RI,0.10301041603088379
RI,LM,0.06673479080200195
LM,RT,0.12470865249633789
LI,RI,0.07999944686889648
RI,LP,0.07913637161254883
LP,LI,0.08699917793273926
LI,RT,0.20204877853393555
RM,RT,0.1505415439605713
RI,LP,0.1219782829284668
LP,LI,0.10499763488769531
LI,LM,0.15802502632141113
LM,RT,0.11902999877929688
LM,LI,0.22552728652954102
LI,LM,0.22311806678771973
LM,LI,0.10940694808959961
LI,RT,0.07153940200805664
RM,RI,0.1040339469909668
RI,RR,0.09696459770202637
RR,LR,0.08008766174316406
LR,RI,0.1200416088104248
RI,RT,0.1354844570159912
LM,RR,0.1141815185546875
RR,RI,0.08010125160217285
RI,RP,0.15522432327270508
RP,LI,0.165358304977417
LI,RT,0.16048574447631836
RM,RI,0.0996549129486084
RI,RR,0.07885479927062988
RR,LR,0.15204405784606934
LR,RT,0.10400104522705078
LR,RI,0.11711692810058594
RI,LM,0.04834556579589844
LM,LI,0.10181879997253418
LI,LM,0.12537765502929688
LM,RT,0.17251276969909668
RM,LI,0.0985727310180664
LI,RT,0.1074521541595459
LI,RR,0.09475994110107422
RR,LM,0.06899547576904297
LM,LR,0.12105202674865723
LR,RT,0.14299345016479492
LI,RI,0.1213068962097168
RI,LI,0.11377835273742676
LI,RT,0.12813997268676758
RM,LI,0.1550149917602539
LI,RP,0.31084561347961426
RP,LR,0.1838836669921875
RI,RR,0.06852865219116211
RR,RI,0.14754629135131836
RI,LM,0.09516644477844238
LM,RT,0.1603846549987793
LI,RR,0.08654212951660156
RR,RT,0.06339192390441895
RI,LM,0.08995485305786133
LM,RT,0.20204973220825195
LP,RI,0.09657835960388184
RI,LM,0.0910043716430664
LM,RT,0.12061905860900879
RT,LP,0.10700488090515137
RT,LP,0.08694887161254883
LR,LP,0.12637567520141602
LP,RR,0.08532238006591797
RR,RM,0.06575179100036621
RM,RT,0.11600661277770996
LP,RR,0.08604621887207031
RR,RR,0.1781632900238037
RR,RI,0.09300470352172852
RI,LM,0.08883070945739746
LM,RT,0.19020724296569824
RT,LP,0.09610605239868164
RT,LP,0.09440326690673828
LR,LP,0.15043044090270996
LP,RR,0.08401107788085938
RR,RM,0.05702996253967285
RM,RT,0.15997958183288574
LI,RI,0.08854269981384277
RI,RM,0.06393790245056152
RM,LR,0.10503649711608887
LR,RT,0.11065983772277832
LM,RI,0.11340689659118652
RI,RP,0.11133575439453125
RP,LI,0.12801361083984375
LI,RI,0.12964582443237305
RI,RT,0.10141873359680176
LR,LI,0.13303256034851074
LI,LI,0.17056655883789062
LI,LM,0.05099964141845703
LM,LM,0.1993415355682373
LM,LI,0.17626237869262695
LI,RT,0.18193864822387695
RR,RI,0.10663294792175293
RI,RT,0.10106897354125977
LI,RI,0.10163021087646484
RI,LM,0.054001569747924805
LM,RT,0.12962770462036133
LI,RR,0.07299327850341797
RR,RI,0.0880587100982666
RI,RR,0.1513051986694336
RR,LM,0.08390474319458008
LM,LI,0.23002099990844727
LI,LP,0.18286442756652832
LP,LI,0.1149132251739502
LI,LM,0.16705560684204102
LM,RT,0.10254669189453125
RR,LI,0.10899901390075684
LI,RT,0.20543980598449707
LI,LI,0.22172021865844727
LI,RR,0.06592702865600586
RR,RM,0.14898037910461426
RM,LM,0.09598660469055176
LM,RI,0.0980062484741211
RI,RT,0.1202540397644043
LM,LI,0.16419410705566406
LI,LM,0.08971357345581055
LM,LP,0.10089898109436035
LP,RI,0.08999919891357422
RI,LR,0.12480878829956055
LR,RT,0.14324522018432617
LR,RI,0.1209869384765625
RI,LM,0.03199601173400879
LM,LI,0.10546159744262695
LI,LM,0.11833667755126953
LM,RT,0.16010546684265137
LI,RI,0.10309481620788574
RI,LM,0.052986860275268555
LM,RT,0.12606596946716309
LM,RM,0.1221318244934082
RM,LI,0.12111139297485352
LI,RI,0.18198585510253906
RI,RT,0.046111106872558594
LR,RR,0.10209488868713379
RR,LM,0.11409592628479004
LM,LM,0.1800537109375
LM,RP,0.16999125480651855
RP,LR,0.1643526554107666
LR,RT,0.23990654945373535
LP,RI,0.13310623168945312
RI,LM,0.23384690284729004
RM,RP,0.21044445037841797
RP,RI,0.13300704956054688
RI,RT,0.09381651878356934
LI,RI,0.09277868270874023
RI,LM,0.1029198169708252
LM,RT,0.1156923770904541
LI,RR,0.16305088996887207
RR,RI,0.10594630241394043
RI,LI,0.062035322189331055
LI,RT,0.13103771209716797
LR,LM,0.17000317573547363
LM,RR,0.16004085540771484
RR,LI,0.0980072021484375
LI,LM,0.09495306015014648
LM,RT,0.13599729537963867
LP,RI,0.14700031280517578
RI,LM,0.04799985885620117
LM,RT,0.12900328636169434
LR,LM,0.10098719596862793
LM,LI,0.2230069637298584
LI,LM,0.13000059127807617
LM,RI,0.12395691871643066
RI,RT,0.09505653381347656
RI,LM,0.030997753143310547
LM,LP,0.13899850845336914
LP,LI,0.13004302978515625
LI,LR,0.14995622634887695
LR,RT,0.24504375457763672
LP,LI,0.09198522567749023
LI,RR,0.12296319007873535
RR,RT,0.09503769874572754
LP,RR,0.2389545440673828
RR,RI,0.13300132751464844
RI,RT,0.3602614402770996
LI,RR,0.29699182510375977
RR,RP,0.3389618396759033
RP,LP,0.10505080223083496
LP,LI,0.14094805717468262
LI,RI,0.11805558204650879
RI,LM,0.05094289779663086
LM,LI,0.09305310249328613
LI,LR,0.1659862995147705
LR,RT,0.21596336364746094
LI,LI,0.2450416088104248
LI,RR,0.10095882415771484
RR,RI,0.09400224685668945
RI,LI,0.07005643844604492
LI,RI,0.12894082069396973
RI,LI,0.09900355339050293
LI,RT,0.07099676132202148
LI,RR,0.1250007152557373
RR,LI,0.10500001907348633
LI,LI,0.18804073333740234
LI,RI,0.09201526641845703
RI,RT,0.07394933700561523
RR,RI,0.10605168342590332
RI,RT,0.08099985122680664
LI,RI,0.1029975414276123
RI,RM,0.05699801445007324
RM,LR,0.08605504035949707
LR,RT,0.12198638916015625
LM,RR,0.0859529972076416
RR,RI,0.058995962142944336
RI,LI,0.14105677604675293
LI,RM,0.12794280052185059
RM,RI,0.09203839302062988
RI,LM,0.16601920127868652
LM,RI,0.15798258781433105
RI,LI,0.09400248527526855
LI,RT,0.14501428604125977
LP,RT,0.16699814796447754
RI,LM,0.08204197883605957
LM,LR,0.11601495742797852
LR,RT,0.12294316291809082
RI,LP,0.11905503273010254
LP,LI,0.09094500541687012
LI,RM,0.0760345458984375
RM,RR,0.05301308631896973
RR,RI,0.08595085144042969
RI,RT,0.1119992733001709
LM,RR,0.21905303001403809
RR,RI,0.059984445571899414
RI,LM,0.10295867919921875
LM,LM,0.2290031909942627
LM,RM,0.1370391845703125
RM,LI,0.2100203037261963
LI,LM,0.20093703269958496
LM,LM,0.19499969482421875
LM,RT,0.13605666160583496
RM,RI,0.10195755958557129
RI,RT,0.09303474426269531
RT,LP,0.18594837188720703
RT,LP,0.22199559211730957
RM,LI,0.08004021644592285
LI,LM,0.23095965385437012
LM,LI,0.12404274940490723
LI,LI,0.2320103645324707
LI,RI,0.16894912719726562
RI,RT,0.08005762100219727
LP,RI,0.1250007152557373
RI,LM,0.0859823226928711
LM,RT,0.09596085548400879
LM,LM,0.16099786758422852
LM,LM,0.1890125274658203
LM,RM,0.10800504684448242
RM,LM,0.13397693634033203
LM,LP,0.216019868850708
LP,LI,0.056951045989990234
LI,LM,0.12403512001037598
LM,LM,0.16901254653930664
LM,RT,0.13600444793701172
LI,RR,0.11694741249084473
RR,RT,0.08503532409667969
LI,RI,0.10500216484069824
RI,LM,0.023992538452148438
LM,RT,0.16800832748413086
RP,LI,0.12800383567810059
LI,RR,0.13500094413757324
RR,RP,0.16099810600280762
RP,RR,0.13003873825073242
RR,LR,0.27495813369750977
LR,RM,0.19304203987121582
RM,LI,0.15596294403076172
LI,RM,0.0729985237121582
RM,RR,0.06699919700622559
RR,RI,0.11199665069580078
RI,RT,0.08305954933166504
LI,RI,0.12199640274047852
RI,LP,0.04599761962890625
LP,LI,0.10496902465820312
LI,RT,0.053047895431518555
LP,RR,0.07498717308044434
RR,RR,0.1389622688293457
RR,RT,0.1459946632385254
RI,LM,0.11400198936462402
LM,RI,0.11894416809082031
RI,RT,0.0830545425415039
LP,LI,0.09203767776489258
LI,LM,0.06900906562805176
LM,RT,0.12196660041809082
LM,LI,0.23694467544555664
LI,LM,0.11400270462036133
LM,LP,0.10899829864501953
LP,LI,0.09299945831298828
LI,LM,0.06905484199523926
LM,LM,0.1929488182067871
LM,RT,0.1549971103668213
LM,LP,0.17400026321411133
LP,RI,0.3900020122528076
RI,LP,0.2219998836517334
LP,RR,0.14499974250793457
RI,RR,0.08900141716003418
RR,LR,0.13000082969665527
LR,RT,0.12900185585021973
LR,LM,0.1080009937286377
LM,RT,0.14200305938720703
LP,LI,0.0989997386932373
LI,LM,0.05099964141845703
LM,RT,0.14800024032592773
LM,RI,0.17003560066223145
RI,LI,0.13400602340698242
LI,LP,0.23295807838439941
LP,LI,0.14999914169311523
LI,LM,0.11599850654602051
LM,LM,0.16805720329284668
LM,RT,0.20098257064819336
RM,RI,0.07500386238098145
RI,RT,0.08794760704040527
RI,RR,0.09704422950744629
