prev_key,curr_key,time_delay
b,u,0.12213850021362305
u,t,0.1152796745300293
t,space,0.12199068069458008
t,h,0.08395862579345703
h,e,0.04201507568359375
e,r,0.08559679985046387
r,e,0.14505362510681152
e,space,0.0860147476196289
w,e,0.04185605049133301
e,r,0.09817004203796387
r,e,0.14159178733825684
e,space,0.18000507354736328
p,l,0.14341068267822266
l,a,0.11705327033996582
a,n,0.11307072639465332
n,e,0.09396791458129883
e,s,0.1329939365386963
s,space,0.12500762939453125
t,o,0.07800006866455078
o,space,0.08741950988769531
c,a,0.17219805717468262
a,t,0.10799455642700195
t,c,0.2202317714691162
c,h,0.11691141128540039
h,space,0.10968255996704102
a,n,0.12056779861450195
n,d,0.08503317832946777
d,space,0.12394213676452637
b,i,0.09196710586547852
i,l,0.07999849319458008
l,l,0.1699991226196289
l,s,0.15218210220336914
s,space,0.1262800693511963
t,o,0.07300257682800293
o,space,0.10351991653442383
p,a,0.18287301063537598
a,y,0.13218307495117188
y,space,0.10210299491882324
h,e,0.09139251708984375
e,space,0.11226105690002441
l,e,0.08135247230529785
e,a,0.1502699851989746
a,r,0.08298897743225098
r,n,0.10375618934631348
n,e,0.05599665641784668
e,d,0.1911311149597168
d,space,0.08299827575683594
t,o,0.07596993446350098
o,space,0.08486199378967285
w,a,0.17803955078125
a,l,0.08318090438842773
l,k,0.09477496147155762
k,space,0.1382441520690918
w,h,0.141157865524292
h,i,0.0754697322845459
i,l,0.04899287223815918
l,e,0.13623976707458496
e,space,0.11795330047607422
shift,I,0.09810876846313477
I,space,0.0972144603729248
w,a,0.19078588485717773
a,s,0.09029555320739746
s,space,0.12993526458740234
a,w,0.19092059135437012
w,a,0.16800618171691895
a,y,0.17497658729553223
y,space,0.12826776504516602
a,n,0.13699054718017578
n,d,0.09999990463256836
d,space,0.1410069465637207
h,e,0.06239795684814453
e,space,0.2312014102935791
w,a,0.17297601699829102
a,s,0.10810422897338867
s,space,0.12318873405456543
t,a,0.12064003944396973
a,l,0.058484554290771484
l,k,0.093353271484375
k,i,0.20494318008422852
i,n,0.07596588134765625
n,g,0.08401226997375488
g,space,0.12297844886779785
b,e,0.21294426918029785
e,f,0.11396408081054688
f,o,0.14031243324279785
o,r,0.07781696319580078
r,e,0.07601094245910645
e,space,0.13628268241882324
shift,I,0.09096431732177734
I,space,0.11108040809631348
k,n,0.06622672080993652
n,e,0.059346914291381836
e,w,0.12871432304382324
w,space,0.16927027702331543
i,t,0.11892819404602051
a,n,0.11591935157775879
n,d,0.08744454383850098
d,space,0.12576818466186523
a,s,0.11900019645690918
s,space,0.11899828910827637
h,e,0.09195661544799805
e,space,0.11801624298095703
g,r,0.17546868324279785
r,e,0.08018660545349121
e,w,0.12383222579956055
w,space,0.23991155624389648
h,e,0.13032054901123047
e,',0.1616518497467041
',d,0.16003990173339844
d,space,0.2077479362487793
s,a,0.16709542274475098
a,y,0.1672043800354004
y,space,0.08602333068847656
i,',0.16484427452087402
',m,0.18580985069274902
m,space,0.10288190841674805
